"Region of Incident","Reported Year","Reported Month","Number Dead","Minimum Estimated Number of Missing","Number of Survivors","Number of Females","Number of Males","Number of Children","Cause of Death","Migration Route"
"Europe",2018,"Apr",1,NA,2,NA,1,1,"Presumed drowning",""
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"Mediterranean",2018,"Apr",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Mediterranean",2018,"Apr",7,4,1,NA,1,NA,"Drowning","Western Mediterranean"
"Mediterranean",2018,"Apr",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Apr",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Apr",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"North Africa",2018,"Apr",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Apr",2,NA,NA,1,1,NA,"Starvation, Dehydration",""
"North Africa",2018,"Apr",2,NA,NA,1,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Mar",1,NA,NA,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"North Africa",2018,"Mar",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines, Starvation, Excessive Physical Abuse, Sexual abuse",""
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines, Suffocation",""
"North Africa",2018,"Mar",2,NA,NA,NA,2,NA,"Suffocation, Vehicle Accident",""
"Southeast Asia",2018,"Mar",20,NA,27,18,2,NA,"Vehicle Accident",""
"Middle East",2018,"Mar",17,NA,33,NA,NA,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Mar",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"Horn of Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"Mediterranean",2018,"Mar",NA,7,NA,NA,7,NA,"Presumed drowning","Western Mediterranean"
"Sub-Saharan Africa",2018,"Mar",6,NA,108,2,3,1,"Vehicle Accident",""
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"North Africa",2018,"Mar",2,NA,NA,2,NA,2,"Fall from vehicle",""
"Europe",2018,"Mar",1,NA,NA,NA,1,1,"Vehicle Accident","Calais to United Kingdom"
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"North Africa",2018,"Mar",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Mar",2,NA,NA,NA,1,1,"Vehicle Accident",""
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Mar",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter, Suffocation",""
"North Africa",2018,"Mar",1,NA,NA,1,NA,1,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Mar",4,NA,NA,2,NA,1,"Vehicle Accident",""
"Central America",2018,"Mar",1,NA,NA,NA,1,NA,"Hit by train, Train Accident","Central America to US"
"Central America",2018,"Mar",2,3,4,1,1,1,"Drowning",""
"Central America",2018,"Mar",1,NA,NA,NA,1,NA,"Fall from train",""
"Sub-Saharan Africa",2018,"Mar",2,NA,NA,NA,2,1,"Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Mar",1,NA,NA,1,NA,NA,"Suicide","Central America to US"
"Europe",2018,"Mar",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines","Italy to France"
"Europe",2018,"Mar",2,NA,NA,NA,2,NA,"Violence",""
"North Africa",2018,"Mar",2,NA,NA,NA,2,1,"Sickness and lack of access to medicines, Dehydration",""
"North Africa",2018,"Mar",1,NA,NA,1,NA,1,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown",""
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"North Africa",2018,"Mar",1,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines, Starvation, Harsh weather/lack of adequate shelter, Suffocation",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,1,NA,1,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Mar",2,NA,NA,1,NA,1,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Excessive Physical Abuse",""
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"South Asia",2018,"Mar",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"North Africa",2018,"Mar",7,NA,NA,1,2,1,"Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Mar",2,NA,NA,1,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,1,NA,NA,"Unknown",""
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Mar",1,NA,NA,1,NA,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Mar",2,NA,NA,2,NA,1,"Vehicle Accident",""
"Mediterranean",2018,"Mar",1,NA,NA,NA,1,NA,"Presumed drowning","Central Mediterranean"
"US-Mexico Border",2018,"Mar",1,NA,NA,1,NA,NA,"Unknown","Central America to US"
"Europe",2018,"Mar",1,NA,NA,NA,1,NA,"Hit by vehicle",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Mar",2,NA,NA,1,1,1,"Excessive Physical Abuse",""
"East Asia",2018,"Mar",3,NA,NA,1,2,NA,"Presumed drowning",""
"South Asia",2018,"Mar",2,NA,NA,2,NA,1,"Dehydration, Shot or stabbed",""
"South Asia",2018,"Mar",2,NA,NA,2,NA,1,"Starvation, Shot or stabbed",""
"South Asia",2018,"Mar",1,NA,NA,NA,1,NA,"Suffocation",""
"North Africa",2018,"Mar",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Mar",1,NA,NA,NA,1,NA,"Drowning","Western Mediterranean"
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Mar",2,NA,NA,1,1,2,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Europe",2018,"Mar",2,NA,7,NA,NA,NA,"Vehicle Accident","Western Balkans"
"Mediterranean",2018,"Mar",16,3,3,5,11,9,"Drowning","Eastern Mediterranean"
"Southeast Asia",2018,"Mar",3,NA,8,2,1,NA,"Vehicle Accident",""
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Starvation, Dehydration, Suffocation",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,1,NA,NA,"Vehicle Accident",""
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Presumed drowning","Western African"
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Starvation, Dehydration",""
"North Africa",2018,"Mar",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown",""
"Mediterranean",2018,"Mar",12,NA,22,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Southeast Asia",2018,"Mar",1,NA,5,NA,1,NA,"Killed by landmine blast",""
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Central America",2018,"Mar",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"South Asia",2018,"Mar",2,NA,NA,NA,2,NA,"Shot",""
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"North Africa",2018,"Mar",1,NA,NA,NA,1,1,"Starvation, Dehydration",""
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines",""
"Europe",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown",""
"Central America",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Mediterranean",2018,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines","Central Mediterranean"
"North Africa",2018,"Mar",2,NA,NA,NA,NA,NA,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter",""
"North Africa",2018,"Mar",2,NA,NA,NA,2,NA,"Starvation, Dehydration",""
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines, Vehicle Accident",""
"US-Mexico Border",2018,"Mar",1,NA,4,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Mar",1,NA,1,NA,1,NA,"Unknown","Central America to US"
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"Sub-Saharan Africa",2018,"Mar",5,NA,NA,1,1,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown",""
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Starvation, Dehydration, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Mar",2,NA,NA,NA,2,NA,"Vehicle Accident",""
"Mediterranean",2018,"Mar",1,NA,NA,NA,1,NA,"Drowning","Western Mediterranean"
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2018,"Mar",3,NA,NA,1,2,1,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter, Suffocation",""
"Sub-Saharan Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Middle East",2018,"Mar",1,NA,NA,NA,1,NA,"Drowning",""
"Sub-Saharan Africa",2018,"Mar",3,NA,NA,1,1,NA,"Vehicle Accident",""
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,NA,NA,"Unknown",""
"Central America",2018,"Mar",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"Sub-Saharan Africa",2018,"Mar",2,NA,NA,NA,2,NA,"Suffocation",""
"North Africa",2018,"Mar",2,NA,NA,2,NA,NA,"Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter",""
"Sub-Saharan Africa",2018,"Mar",2,NA,NA,NA,2,1,"Shot or stabbed",""
"Mediterranean",2018,"Mar",3,NA,2,2,1,NA,"Drowning","Western Mediterranean"
"Mediterranean",2018,"Mar",NA,21,30,4,17,NA,"Presumed drowning","Central Mediterranean"
"Europe",2018,"Mar",1,NA,NA,NA,1,NA,"Presumed drowning",""
"Horn of Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"US-Mexico Border",2018,"Mar",1,NA,NA,NA,1,NA,"Unknown","Central America to US"
"North Africa",2018,"Mar",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Mar",1,NA,NA,NA,1,NA,"Fall from vehicle",""
"North Africa",2018,"Mar",2,NA,NA,NA,2,NA,"Suffocation",""
"North Africa",2018,"Mar",3,NA,NA,1,1,1,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse",""
"North Africa",2018,"Mar",2,NA,NA,1,1,1,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,NA,NA,"Unknown","Central America to US"
"Mediterranean",2018,"Feb",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Suffocation",""
"North Africa",2018,"Feb",2,NA,NA,NA,2,NA,"Sickness and lack of access to medicines, Suffocation, Excessive Physical Abuse",""
"Middle East",2018,"Feb",6,NA,4,1,1,4,"Hypothermia",""
"US-Mexico Border",2018,"Feb",NA,3,NA,NA,NA,NA,"Presumed drowning","Central America to US"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Presumed drowning","Central America to US"
"Mediterranean",2018,"Feb",1,NA,NA,NA,1,NA,"Cardiac arrest","Western Mediterranean"
"South America",2018,"Feb",2,NA,NA,NA,2,2,"Plane stowaway",""
"North Africa",2018,"Feb",2,NA,NA,1,1,2,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Feb",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"North Africa",2018,"Feb",1,NA,NA,1,NA,1,"Sickness and lack of access to medicines",""
"North Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"Sub-Saharan Africa",2018,"Feb",3,NA,NA,1,1,NA,"Starvation",""
"Central America",2018,"Feb",1,NA,25,NA,1,NA,"Shot","Central America to US"
"US-Mexico Border",2018,"Feb",1,NA,5,NA,1,NA,"Hypothermia","Central America to US"
"Central America",2018,"Feb",1,NA,3,NA,1,NA,"Shot","Central America to US"
"North Africa",2018,"Feb",2,NA,NA,NA,2,1,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Suffocation",""
"Sub-Saharan Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"Sub-Saharan Africa",2018,"Feb",2,NA,NA,NA,1,NA,"Vehicle Accident",""
"Central America",2018,"Feb",3,NA,2,1,2,NA,"Vehicle Accident","Central America to US"
"Horn of Africa",2018,"Feb",1,NA,288,NA,1,NA,"Drowning",""
"Mediterranean",2018,"Feb",2,NA,NA,1,1,NA,"Presumed drowning","Western Mediterranean"
"North Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Feb",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines, Sexual abuse",""
"North Africa",2018,"Feb",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Feb",3,NA,NA,NA,NA,NA,"Unknown",""
"Sub-Saharan Africa",2018,"Feb",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Feb",2,NA,NA,NA,2,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Feb",2,NA,NA,NA,2,1,"Unknown",""
"Mediterranean",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown","Central Mediterranean"
"Central America",2018,"Feb",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"North Africa",2018,"Feb",3,NA,NA,2,NA,1,"Starvation, Dehydration, Harsh weather/lack of adequate shelter",""
"North Africa",2018,"Feb",2,NA,NA,1,1,1,"Sickness and lack of access to medicines, Excessive Physical Abuse, Sexual abuse",""
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Central America",2018,"Feb",1,NA,NA,NA,1,NA,"Hit by train","Central America to US"
"Mediterranean",2018,"Feb",2,NA,NA,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Feb",3,NA,NA,1,2,NA,"Unknown (skeletal remains)",""
"North Africa",2018,"Feb",1,NA,NA,1,NA,NA,"Starvation",""
"Mediterranean",2018,"Feb",1,NA,NA,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"Mediterranean",2018,"Feb",1,NA,NA,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2018,"Feb",1,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Mediterranean",2018,"Feb",1,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Sub-Saharan Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Vehicle Accident",""
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2018,"Feb",1,NA,NA,NA,1,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Feb",2,NA,NA,NA,2,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"Mediterranean",2018,"Feb",11,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"North Africa",2018,"Feb",2,NA,NA,NA,2,NA,"Harsh weather/lack of adequate shelter, Suffocation, Excessive Physical Abuse",""
"North Africa",2018,"Feb",19,NA,159,1,14,4,"Vehicle Accident",""
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Fall into a canyon","Central America to US"
"Mediterranean",2018,"Feb",2,NA,NA,NA,2,NA,"Presumed drowning","Western Mediterranean"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Feb",2,NA,NA,NA,2,NA,"Shot or stabbed",""
"Middle East",2018,"Feb",4,3,1,3,2,2,"Presumed drowning",""
"Mediterranean",2018,"Feb",1,NA,NA,NA,1,NA,"Drowning","Western Mediterranean"
"North Africa",2018,"Feb",1,NA,NA,NA,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"North Africa",2018,"Feb",3,NA,NA,1,1,NA,"Vehicle Accident",""
"Sub-Saharan Africa",2018,"Feb",6,NA,NA,NA,6,NA,"Dehydration, Suffocation",""
"North Africa",2018,"Feb",2,NA,NA,1,1,1,"Harsh weather/lack of adequate shelter, Vehicle Accident",""
"Sub-Saharan Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown",""
"Sub-Saharan Africa",2018,"Feb",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"Mediterranean",2018,"Feb",1,NA,NA,1,NA,1,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Feb",1,NA,NA,NA,1,NA,"Drowning","Western Mediterranean"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"North Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Fall from vehicle",""
"North Africa",2018,"Feb",3,NA,NA,1,2,1,"Starvation, Suffocation, Excessive Physical Abuse",""
"Sub-Saharan Africa",2018,"Feb",1,NA,NA,NA,1,1,"Vehicle Accident",""
"Mediterranean",2018,"Feb",NA,5,29,NA,NA,NA,"Presumed drowning","Western Mediterranean"
"Mediterranean",2018,"Feb",1,NA,NA,NA,NA,NA,"Drowning","Western Mediterranean"
"Sub-Saharan Africa",2018,"Feb",3,1,1,NA,NA,NA,"Presumed drowning",""
"Sub-Saharan Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Plane stowaway",""
"North Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"Mediterranean",2018,"Feb",1,NA,NA,NA,1,NA,"Drowning","Western Mediterranean"
"South Asia",2018,"Feb",3,NA,NA,NA,NA,2,"Shot or stabbed",""
"Mediterranean",2018,"Feb",3,NA,32,NA,3,NA,"Hypothermia","Western Mediterranean"
"Mediterranean",2018,"Feb",7,NA,NA,NA,NA,NA,"Presumed drowning","Central Mediterranean"
"Southeast Asia",2018,"Feb",3,NA,51,NA,NA,3,"Drowning",""
"Horn of Africa",2018,"Feb",25,NA,95,NA,25,NA,"Presumed drowning","Horn Africa to Yemen"
"Mediterranean",2018,"Feb",1,NA,NA,NA,NA,NA,"Drowning","Western Mediterranean"
"Sub-Saharan Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines, Starvation",""
"Sub-Saharan Africa",2018,"Feb",2,NA,NA,NA,NA,NA,"Violence while attempting to board boat",""
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"South Asia",2018,"Feb",1,NA,NA,NA,1,NA,"Shot or stabbed",""
"North Africa",2018,"Feb",2,NA,NA,NA,2,NA,"Starvation",""
"Sub-Saharan Africa",2018,"Feb",2,NA,NA,NA,2,NA,"Suffocation",""
"North Africa",2018,"Feb",2,NA,NA,1,1,1,"Sickness and lack of access to medicines, Vehicle Accident",""
"North Africa",2018,"Feb",3,NA,NA,2,1,1,"Sickness and lack of access to medicines, Vehicle Accident",""
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Drowning","Central America to US"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Unknown (skeletal remains)","Central America to US"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,NA,NA,"Unknown (skeletal remains)","Central America to US"
"North Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter",""
"North Africa",2018,"Feb",1,NA,NA,1,NA,NA,"Starvation",""
"Mediterranean",2018,"Feb",21,26,1,8,31,5,"Drowning","Western Mediterranean"
"US-Mexico Border",2018,"Feb",1,NA,NA,NA,1,NA,"Violence","Central America to US"
"North Africa",2018,"Feb",1,NA,NA,1,NA,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Feb",2,NA,NA,1,1,1,"Sickness and lack of access to medicines, Starvation, Dehydration",""
"Sub-Saharan Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines, Excessive Physical Abuse",""
"North Africa",2018,"Feb",1,NA,3,NA,NA,NA,"Vehicle Accident",""
"Mediterranean",2018,"Feb",14,86,3,1,1,2,"Drowning","Central Mediterranean"
"Middle East",2018,"Feb",1,NA,NA,1,NA,1,"Shot",""
"Mediterranean",2018,"Feb",1,NA,NA,NA,1,NA,"Presumed drowning","Eastern Mediterranean"
"North Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Feb",1,NA,NA,NA,1,NA,"Sickness and lack of access to medicines",""
"North Africa",2018,"Feb",2,NA,NA,NA,2,1,"Sickness and lack of access to medicines, Starvation, Dehydration",""
